id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
235	batch fermentation	-0.7881	0.256	4	234	390	26	2014.5
236	batch mode	-0.5226	0.4343	4	272	408	26	2015.2308
237	batch process	-0.4196	0.4423	1	263	380	32	2014.4375
238	batch reactor	-0.1913	0.6328	1	754	1730	115	2016.1565
239	battery	-0.1762	-0.756	2	226	349	32	2014.4375
240	battery electric vehicle	-0.1884	-0.7905	2	191	270	15	2013
241	bbd	-0.1905	0.6182	1	165	215	12	2019.3333
242	bbl	-0.4202	-0.6026	2	131	163	10	2009.3
243	bd20	1.1892	-0.1797	3	123	196	11	2016.4545
244	bed reactor	-0.1422	0.6447	1	882	2669	183	2015.8142
245	beef tallow biodiesel	0.4088	-0.1909	3	106	126	11	2015.7273
246	benchmark	-0.3479	-0.246	2	234	290	17	2017.6471
247	bentonite	-0.2074	0.7389	1	115	144	10	2015
248	best blend	1.1897	-0.3781	3	133	234	12	2018.8333
249	best catalyst	-0.0331	0.9415	1	193	280	16	2016.8125
250	best catalytic activity	-0.0777	0.8979	1	130	183	11	2017
251	bet	-0.0513	0.935	1	746	2629	125	2017.216
252	bet surface area	-0.1765	0.8686	1	227	349	18	2017.8889
253	better combustion	1.2744	-0.1296	3	253	437	23	2018.087
254	better engine performance	1.1649	-0.2551	3	194	309	16	2015.375
255	better performance	0.691	-0.1408	3	631	1413	85	2016.7765
256	bha	0.4651	0.2801	1	163	372	27	2015.1111
257	bhd	-0.4905	-0.3639	2	102	127	10	2018.3
258	bht	0.3856	0.3295	1	213	442	33	2014.9697
259	bifunctional catalyst	-0.1596	0.8989	1	217	327	21	2017.2857
260	bimetallic catalyst	-0.0115	0.8489	1	178	267	15	2019.2
261	binary blend	0.8162	0.0023	3	237	369	24	2017.5417
262	binary mixture	0.4236	0.2839	3	272	400	38	2017.1842
263	bio char	-0.2278	0.3675	1	414	839	63	2016.2222
264	bio crude	-0.3486	0.2541	1	196	269	18	2017.7778
265	bio crude oil	-0.5059	0.1593	4	150	199	13	2017.6923
266	bio hydrocarbon	-0.2743	0.2031	1	167	206	12	2017.0833
267	bio oil	-0.1161	0.3747	1	1901	10227	759	2016.1963
268	bio oil fraction	-0.2792	0.2869	1	205	270	19	2015.4211
269	bio oil model compound	0.0219	0.8038	1	158	267	15	2017.3333
270	bio oil production	-0.2959	0.2676	1	575	1149	79	2017.0127
271	bio oil property	-0.1134	0.5737	1	167	231	15	2016.8
272	bio oil quality	-0.2059	0.6161	1	169	243	18	2016.9444
273	bio oil sample	0.0721	0.4987	1	174	260	20	2016.3
274	bio oil upgrading	-0.2849	0.368	1	275	406	24	2016.2917
275	bio oil yield	-0.2575	0.4139	1	661	1651	110	2016.8909
276	bio product	-0.7471	-0.0168	4	190	243	18	2018.2222
277	bio syngas	-0.2539	-0.0062	2	90	109	10	2012.3
278	biobutanol production	-0.5737	0.0043	4	116	166	17	2017.2353
279	biocatalyst	-0.3146	0.5564	1	543	1250	89	2015.5506
280	biochemical	-0.6163	-0.0218	4	291	356	23	2017.8696
281	biochemical composition	-0.8303	0.1931	4	295	530	32	2016.8438
282	biochemical conversion	-0.68	-0.4775	2	123	143	10	2016.3
283	biochemical process	-0.6964	0.0452	4	91	100	12	2014.1667
284	bioconversion	-0.6972	0.1344	4	393	590	45	2016.1778
285	biocrude	-0.4216	0.2295	1	535	1032	71	2016.2676
286	biocrude oil	-0.3403	0.4239	1	204	297	19	2017.7895
287	biocrude production	-0.6505	0.0393	4	150	219	14	2016.2143
288	biocrude yield	-0.564	0.2904	4	218	374	23	2017.3913
289	biodegradation	-0.3224	0.0944	4	292	570	65	2015.2769
290	biodegradation rate	-0.2338	0.1051	4	68	101	12	2015.0833
291	biodiesel addition	0.6855	-0.1153	3	140	189	11	2015
292	biodiesel application	-0.3921	0.21	4	168	191	12	2015.6667
293	biodiesel blend	0.8536	-0.1942	3	1453	7668	479	2015.547
294	biodiesel blend fuel	1.2541	-0.2152	3	139	231	12	2014.5
295	biodiesel combustion	0.7824	-0.0281	3	317	466	32	2014.9688
296	biodiesel concentration	0.5937	-0.1092	3	216	359	30	2013.1
297	biodiesel consumption	-0.3339	-0.8734	2	170	218	12	2012.6667
298	biodiesel content	0.6605	-0.0567	3	520	987	69	2015.1739
299	biodiesel conversion	-0.281	0.6158	1	420	783	48	2016.5625
300	biodiesel degradation	0.14	0.1625	1	78	108	12	2015.9167
301	biodiesel demand	-0.458	-0.8045	2	114	141	13	2014.6154
302	biodiesel development	-0.4457	-0.6671	2	113	133	10	2015
303	biodiesel diesel	0.9665	-0.1228	3	242	399	27	2014.5556
304	biodiesel diesel blend	0.9529	-0.148	3	602	1646	96	2015.6667
305	biodiesel diesel fuel blend	1.1656	-0.0994	3	200	305	19	2014.6842
306	biodiesel diesel mixture	0.6478	-0.0918	3	121	154	12	2017.3333
307	biodiesel emission	0.5798	-0.3894	3	144	238	17	2014.6471
308	biodiesel engine	1.0033	-0.2046	3	188	271	17	2016.3529
309	biodiesel exhaust	0.5179	-0.3067	3	182	327	27	2014.8889
310	biodiesel fuel blend	1.0043	-0.1701	3	277	474	29	2016.2759
311	biodiesel fuel production	-0.3836	0.7304	1	112	184	16	2009
312	biodiesel increase	1.2059	-0.1777	3	147	218	13	2014.8462
313	biodiesel mixture	0.6145	-0.0358	3	221	312	25	2015
314	biodiesel percentage	0.6314	-0.21	3	120	156	13	2014.3846
315	biodiesel preparation	-0.1106	0.6619	1	278	455	29	2015.5862
316	biodiesel price	-0.5639	-0.5249	2	129	183	17	2014.9412
317	biodiesel product	-0.0989	0.4248	1	341	559	40	2014.925
318	biodiesel property	-0.473	0.2505	4	719	1626	110	2016.5636
319	biodiesel quality	-0.3464	0.2304	4	552	1058	80	2014.925
320	biodiesel quality control	0.1455	0.2326	1	72	92	10	2014.8
321	biodiesel specification	-0.0177	0.3831	1	182	259	20	2013.8
322	biodiesel standard	-0.1866	0.2608	4	703	1641	115	2014.7391
323	biodiesel supply chain	-0.5234	-0.7621	2	174	262	21	2016.1429
324	biodiesel synthesis	-0.2529	0.6333	1	751	2006	134	2015.9851
325	biodiesel usage	0.649	-0.5894	3	153	195	14	2015.8571
326	biodiesel yield	-0.1958	0.6374	1	990	3503	225	2016.0533
327	biodiversity	-0.5606	-0.6763	2	480	881	54	2014.6296
328	bioeconomy	-0.6101	-0.6011	2	200	282	18	2018.1667
329	bioelectricity	-0.5798	-0.7676	2	265	363	22	2016.9091
330	bioenergy	-0.5399	-0.6083	2	971	2514	174	2015.0115
331	bioenergy crop	-0.6141	-0.5526	2	369	611	37	2015.7838
332	bioenergy feedstock	-0.6727	-0.5621	2	171	200	13	2016.6923
333	bioenergy production	-0.62	-0.5141	2	626	1160	71	2015.6338
334	bioenergy system	-0.5922	-0.7334	2	219	327	21	2015.381
335	bioethanol production	-0.633	-0.326	2	664	1294	97	2016.4124
336	biofertilizer	-0.6413	-0.2899	2	137	161	13	2016.6923
337	biofuel additive	0.0736	0.5134	1	319	498	35	2017.0571
338	biofuel blend	1.0838	-0.1825	3	807	2477	149	2016.604
339	biofuel candidate	0.5104	0.2091	3	307	461	36	2016.8889
340	biofuel combustion	0.2444	-0.4055	2	220	344	30	2012.5667
341	biofuel consumption	-0.3093	-0.7686	2	151	206	17	2015.0588
342	biofuel content	0.5861	-0.4122	3	216	294	21	2014.7619
343	biofuel crop	-0.5908	-0.5462	2	447	916	68	2013.2794
344	biofuel demand	-0.5371	-0.755	2	183	254	17	2017.3529
