id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
805	cracking	-0.0806	0.5676	1	358	557	36	2014.5556
806	cracking reaction	-0.088	0.8574	1	224	367	22	2015.6818
807	cradle	-0.6638	-0.6272	2	434	856	46	2017.0217
808	crank angle	1.3471	-0.2095	3	330	666	34	2016.8235
809	crantz	-0.5424	-0.3646	2	187	309	21	2015.619
810	crdi	1.4763	-0.2255	3	281	684	28	2017.8571
811	crdi diesel engine	1.3706	-0.2343	3	205	335	14	2019
812	crdi engine	1.4327	-0.1768	3	161	283	11	2018.7273
813	credit	-0.5567	-0.6642	2	538	1164	76	2014.3026
814	critical analysis	-0.1466	-0.6126	2	160	176	13	2015.6154
815	critical review	-0.6073	-0.2426	2	115	135	12	2014.5833
816	crop	-0.5154	-0.5176	2	1674	7411	524	2014.0324
817	crop production	-0.5464	-0.7191	2	404	718	40	2013.3
818	crop residue	-0.4788	-0.5211	2	323	468	35	2014.8571
819	crop rotation	-0.617	-0.6799	2	199	274	16	2014.875
820	crop yield	-0.5971	-0.7497	2	312	546	30	2013.9667
821	cropland	-0.5481	-0.7934	2	351	618	32	2013.9375
822	crown	0.7367	-0.0927	3	231	340	22	2011.8636
823	crude bio oil	-0.0723	0.5373	1	386	664	49	2015.9796
824	crude biodiesel	-0.3427	0.539	1	218	303	22	2015.5909
825	crude glycerol	-0.6643	0.3128	4	540	1224	95	2015.6316
826	crude oil price	-0.347	-0.5956	2	344	554	41	2013
827	cryptococcus curvatus	-0.7968	0.3184	4	157	216	13	2015.0769
828	crystallinity	-0.1468	0.7046	1	252	363	24	2018.125
829	crystallization	0.0739	0.5147	1	178	271	25	2014.96
830	cst	0.219	0.4709	1	345	619	41	2016.122
831	ctab	0.2193	0.6701	1	145	181	11	2018.0909
832	cultivar	-0.5071	-0.3212	2	285	486	41	2015.5854
833	cultivation	-0.7194	-0.2631	4	1680	7799	503	2015.3996
834	cultivation condition	-0.9225	0.1499	4	304	529	31	2016.2581
835	cultivation system	-0.7744	-0.4016	2	373	653	44	2015.6136
836	culture	-0.7892	0.1484	4	1008	3593	245	2014.9551
837	culture condition	-0.8539	0.2139	4	447	921	62	2015.0484
838	culture medium	-0.8027	0.2165	4	468	1006	63	2016.6667
839	current investigation	0.4302	0.0486	3	178	232	13	2016.2308
840	current price	-0.6215	-0.5087	2	138	177	11	2015.3636
841	current situation	-0.4997	-0.7646	2	122	140	11	2014.8182
842	current status	-0.5177	-0.4253	2	287	412	32	2013.25
843	current technology	-0.4451	-0.4264	2	205	239	16	2016.3125
844	cyanobacteria	-0.679	0.0915	4	257	392	25	2017.44
845	cyanobacterium	-0.7375	0.0648	4	445	788	50	2016.26
846	cyclic ether	0.4003	0.5256	3	76	114	10	2016.2
847	cyclic hydrocarbon	-0.1694	0.7767	1	162	259	16	2017.6875
848	cyclic ketone	0.0834	0.7884	1	82	138	11	2017.4545
849	cycloalkane	0.1145	0.5882	1	188	294	21	2018
850	cyclohexane	0.08	0.5584	1	294	423	28	2016.2143
851	cyclohexanone	0.047	0.7553	1	178	289	18	2017.2778
852	cyclopentanone	0.1117	0.5789	1	253	372	24	2017.6667
853	cylinder	1.2405	-0.2746	3	719	2699	150	2014.6733
854	cylinder diesel engine	1.0395	-0.2768	3	294	517	27	2014.9259
855	cylinder head	1.2815	-0.1594	3	197	359	17	2015.2941
856	cylinder liner	0.911	0.1336	3	138	229	17	2015.0588
857	cylinder peak pressure	1.3406	-0.144	3	211	383	17	2016.4118
858	cylinder pressure	1.3731	-0.1691	3	797	3782	171	2017.3918
859	cylinder temperature	1.2924	-0.0924	3	199	333	18	2016.1111
860	cytotoxicity	0.4715	-0.2515	3	181	297	24	2014.75
861	d6751	-0.3742	0.4037	4	161	218	13	2015.6923
862	daf	-0.5366	0.3311	4	128	167	12	2016.6667
863	day1	-0.9127	0.2287	4	230	387	22	2019.2727
864	dbe	0.8792	0.1172	3	238	356	23	2017.1304
865	dcw	-0.9167	0.2685	4	215	397	21	2016.9524
866	deactivation	-0.105	0.7961	1	460	937	57	2015.807
867	debate	-0.359	-0.7158	2	421	786	52	2014.1154
868	decane	0.4287	0.3503	3	170	219	19	2013.5789
869	decarbonization	-0.1989	-0.6345	2	195	242	16	2018.8125
870	decarbonylation	-0.158	0.7774	1	466	1083	61	2017.1148
871	decarboxylation	-0.2014	0.6994	1	653	1618	102	2016.0686
872	decarboxylation reaction	-0.115	0.6296	1	196	253	17	2016.5294
873	december	-0.1198	-0.624	2	164	201	19	2014.6842
874	decision	-0.3989	-0.708	2	860	2200	160	2015.7562
875	decision maker	-0.3996	-0.871	2	347	614	41	2015.0244
876	decision making	-0.355	-0.7708	2	294	468	36	2016.0278
877	dee	0.9785	-0.1223	3	408	855	47	2017.766
878	definition	-0.2804	-0.5692	2	342	472	32	2014.7812
879	deforestation	-0.4843	-0.7596	2	307	503	30	2014.6
880	degraded land	-0.6232	-0.791	2	203	322	21	2012.5714
881	dehydration	-0.1536	0.4762	1	558	986	66	2016.303
882	dehydrogenation	-0.0701	0.7442	1	162	213	14	2017.7143
883	delay	0.7337	-0.3064	3	445	691	43	2015.1395
884	denitrogenation	-0.3517	0.6552	1	116	170	12	2016.4167
885	denmark	-0.4635	-0.6993	2	188	252	14	2012.7143
886	density functional theory	0.1135	0.5901	1	119	146	15	2018.2667
887	deoxygenation	-0.131	0.7569	1	823	2829	172	2016.8663
888	deoxygenation reaction	-0.121	0.7642	1	233	347	22	2016.6364
889	deployment	-0.4023	-0.696	2	548	973	68	2015.8088
890	depolymerization	-0.3311	0.4205	1	248	357	25	2018.08
891	design methodology approach	0.1336	-0.5783	2	167	232	18	2015.0556
892	desmodesmus	-0.9816	0.2066	4	143	218	12	2017.3333
893	desorption	-0.0393	0.9296	1	453	1136	56	2016.2143
894	detoxification	-0.6115	0.0882	4	179	218	16	2016.3125
895	developed country	-0.3219	-0.5711	2	189	242	18	2012.5
896	developed model	0.546	0.1279	1	250	359	25	2018.24
897	di diesel engine	1.3234	-0.1245	3	605	2055	101	2015.4752
898	dichloromethane	0.0757	0.2312	1	213	290	23	2015.7391
899	diesel biodiesel	0.9026	-0.1349	3	278	468	28	2015.3929
900	diesel biodiesel blend	0.7539	-0.0485	3	492	1034	67	2016.2985
901	diesel biodiesel mixture	0.8476	-0.3066	3	131	172	11	2017.2727
902	diesel blend	0.9644	-0.1334	3	1123	4246	247	2016.0445
903	diesel combustion	0.6387	-0.2249	3	296	435	27	2014.037
904	diesel consumption	-0.3033	-0.7533	2	305	467	35	2015.0571
905	diesel demand	-0.5188	-0.7454	2	159	208	17	2013.5294
906	diesel emission	0.5836	-0.3781	3	206	315	23	2015.3913
907	diesel engine	0.9563	-0.1791	3	2183	22963	1440	2015.0931
908	diesel engine application	1.1688	-0.2481	3	265	466	24	2017.25
909	diesel engine combustion	0.98	-0.2235	3	158	235	13	2015.3077
910	diesel engine emission	0.8526	-0.2398	3	285	477	30	2014
911	diesel engine exhaust	0.8527	-0.154	3	134	197	13	2013.2308
912	diesel engine fuel	1.0485	-0.1294	3	162	215	13	2012
913	diesel engine generator	0.8538	-0.3984	3	137	244	16	2015.1875
914	diesel engine operating	1.1731	-0.2742	3	306	640	38	2012.2368
915	diesel engine operation	1.1381	-0.1951	3	215	338	18	2014.7222
916	diesel engine performance	1.2182	-0.0992	3	450	1196	67	2016.0896
917	diesel exhaust	0.5381	-0.3325	3	217	366	30	2014.4
918	diesel fraction	-0.1496	0.6885	1	223	323	24	2016.2917
919	diesel fuel blend	1.0691	-0.2029	3	451	1089	69	2015.3043
920	diesel fuel operation	1.3583	-0.3516	3	171	280	14	2015.5714
921	diesel generator	0.4416	-0.4879	3	230	404	33	2014.1212
922	diesel operation	1.3313	-0.2814	3	379	1005	47	2016.234
923	diesel oxidation catalyst	0.8275	-0.3112	3	283	544	33	2015.1212
924	diesel particle filter	0.7139	-0.4284	3	177	289	18	2014.1667
925	diesel particulate filter	0.7811	-0.361	3	278	537	38	2014.2632
926	diesel power generator	1.0988	-0.4378	3	107	168	11	2015.4545
927	diesel range	-0.1768	0.6923	1	232	368	23	2016.3913
928	diesel range hydrocarbon	-0.2004	0.7703	1	137	198	11	2018.4545
929	diesel vehicle	0.4034	-0.5679	3	418	704	55	2012.6364
930	diet	-0.7232	-0.2697	4	160	191	15	2015
931	diethyl ether	0.9047	0.1222	3	508	1099	61	2017.7541
932	differential scanning calorimetry	0.0861	0.4844	1	238	391	34	2015.7941
933	differential thermal analysis	0.1375	0.8105	1	147	206	12	2015.75
934	digestate	-0.6521	-0.5813	2	293	515	29	2017.1379
935	diglyceride	0.0348	0.4756	1	164	237	17	2012.9412
936	dimensional gas chromatography	-0.0609	0.3751	1	114	156	16	2015.125
937	dimethyl	0.3924	0.1665	3	149	172	14	2015.6429
938	dimethyl carbonate	0.514	0.4563	1	277	493	29	2016.4483
939	dimethylfuran	0.6745	0.2832	3	389	821	53	2017.1509
940	direct conversion	-0.3505	0.5544	1	313	473	32	2016.2188
941	direct emission	-0.0756	-0.5766	2	181	227	13	2014.5385
942	direct injection	1.1752	-0.2783	3	822	3172	156	2014.5769
943	direct injection ci engine	1.1992	-0.2894	3	148	235	12	2016.1667
944	direct injection compression ignition engine	1.2648	-0.2016	3	268	521	26	2014.5769
945	direct injection diesel engine	1.3882	-0.1964	3	716	3080	160	2014.8312
946	direct land use change	-0.5058	-0.8451	2	156	254	15	2013.5333
947	direct transesterification	-0.4385	0.5622	1	261	444	28	2015.5
948	directive	-0.2313	-0.615	2	407	669	45	2012.6222
949	discount rate	-0.6016	-0.4786	2	157	214	13	2017
950	disease	-0.1327	-0.42	2	361	550	44	2014.9773
951	dispersion	0.0904	0.5264	1	556	993	61	2016.6557
952	displacement	-0.1678	-0.6508	2	413	625	41	2013.5854
953	disruption	-0.6553	-0.0405	4	316	419	28	2014.7857
954	distillation curve	0.1804	0.386	1	139	180	17	2014.4706
955	district	-0.4836	-0.5782	2	290	444	32	2015.25
956	district heating	-0.3927	-0.7189	2	160	232	14	2012.5714
957	diversification	-0.2101	-0.6956	2	322	509	40	2013.125
958	dmc	0.5966	0.5117	1	234	408	22	2015.9091
959	dmf	0.6192	0.2834	3	396	800	52	2016.9038
960	doc	0.7536	-0.2588	3	212	329	21	2016.381
961	dodecane	0.0163	0.3741	1	293	400	28	2017.3929
962	domestic wastewater	-0.9	0.1572	4	131	180	10	2016.3
963	doubt	-0.2421	-0.8573	2	120	141	11	2010.0909
964	downstream processing	-0.48	0.0501	4	200	247	18	2018.1667
965	dpf	0.6842	-0.3991	3	336	758	50	2014.14
966	drastic reduction	0.5182	-0.2322	3	201	264	14	2016.3571
967	driver	-0.3942	-0.5367	2	571	982	62	2014.8548
968	droplet size	1.054	-0.0941	3	229	384	34	2016.0588
969	drought	-0.6115	-0.4458	2	241	404	29	2012.931
970	dry basis	-0.5942	0.0692	4	233	286	18	2014.7778
971	dry biomass	-0.6852	0.239	4	562	1022	64	2015.75
972	dry cell weight	-0.9266	0.2891	4	325	701	38	2015.9211
973	dry matter	-0.614	-0.3143	2	225	298	24	2015.25
974	dry weight	-0.8128	0.1245	4	671	1633	100	2015.37
975	dry weight basis	-0.7176	0.2097	4	142	166	11	2014.6364
976	dsc	0.1787	0.5053	1	366	622	43	2016.5116
977	dual fuel	1.3502	-0.4075	3	261	586	29	2016.8276
978	dual fuel engine	1.4548	-0.3184	3	234	535	28	2016.6786
979	dual fuel mode	1.4114	-0.3214	3	329	962	48	2016.4583
980	dual fuel operation	1.4494	-0.3529	3	170	332	17	2015.2941
981	dynamometer	0.8476	-0.3873	3	258	481	34	2013.4118
982	e coli	-0.6783	0.2851	4	265	525	37	2015.0811
983	e10	0.7174	-0.2898	3	235	340	23	2017.4783
984	e20	1.2074	-0.2728	3	181	278	16	2016.75
985	e85	0.4253	-0.5438	3	261	358	26	2014.2308
986	ecology	-0.4166	-0.4671	2	232	289	25	2014.4
987	economic	-0.5631	-0.3957	2	976	2349	163	2015.0245
988	economic analysis	-0.5407	-0.3572	2	838	2014	138	2016.6159
989	economic aspect	-0.4419	-0.4867	2	223	274	20	2015.85
990	economic assessment	-0.5309	-0.365	2	465	696	49	2015.5918
991	economic benefit	-0.4276	-0.3562	2	413	570	41	2016
992	economic competitiveness	-0.5426	-0.4973	2	168	201	14	2015.7857
993	economic development	-0.4323	-0.6651	2	362	555	39	2014.359
994	economic efficiency	-0.3844	-0.4963	2	174	222	14	2016.9286
995	economic evaluation	-0.5488	-0.2773	2	435	695	48	2016.0417
996	economic feasibility	-0.5929	-0.3778	2	791	1817	130	2015.9077
997	economic growth	-0.3108	-0.654	2	294	409	29	2014.931
998	economic impact	-0.4351	-0.7071	2	375	565	39	2014.8205
999	economic model	-0.6269	-0.5561	2	340	544	32	2016
1000	economic performance	-0.5851	-0.5871	2	485	945	58	2016.7931
1001	economic perspective	-0.4029	-0.4786	2	171	200	14	2014.4286
1002	economic potential	-0.4508	-0.3671	2	369	539	38	2015.0263
1003	economic sustainability	-0.5312	-0.3524	2	196	231	15	2016.3333
1004	economic viability	-0.5864	-0.2675	2	728	1353	93	2016.3333
1005	economics	-0.5306	-0.7264	2	178	228	16	2013.1875
1006	ecosystem quality	-0.6376	-0.7276	2	151	217	13	2017.6923
1007	ecosystem service	-0.6512	-0.6379	2	176	240	15	2017.6
1008	ecotoxicity	-0.5136	-0.723	2	301	569	30	2016.3333
1009	eddy current dynamometer	1.3633	-0.0268	3	180	351	16	2016.625
1010	eds	0.3489	0.716	1	211	331	16	2018
1011	education	-0.3867	-0.7126	2	192	259	17	2015.0588
1012	edx	-0.0503	0.9066	1	443	1004	45	2017.8889
1013	efb	-0.5447	-0.1808	2	118	157	10	2015.3
1014	effective catalyst	-0.1973	0.7565	1	255	388	25	2016.12
1015	effective pressure	1.4019	-0.2424	3	428	1219	53	2015.9057
1016	efficient biodiesel production	-0.4297	0.564	1	135	180	13	2017.1538
1017	efficient catalyst	-0.2149	0.7706	1	286	474	31	2016.3548
1018	efficient combustion	1.0527	-0.1828	3	228	321	14	2016.5
1019	efficient conversion	-0.3882	0.4076	1	288	371	25	2016.24
1020	efficient method	-0.3439	0.5811	1	243	322	23	2017.6522
1021	efficient production	-0.4377	0.4165	4	293	401	28	2016.8214
1022	efficient synthesis	-0.2774	0.7269	1	139	187	13	2016.1538
1023	efficient use	-0.3094	-0.4853	2	241	303	18	2013.2778
1024	effluent	-0.6806	0.0845	4	534	952	67	2015.806
1025	egr	1.3164	-0.2761	3	665	2500	125	2016.648
1026	egr rate	1.3847	-0.2817	3	346	950	44	2018.1364
1027	egt	1.3615	-0.0648	3	414	1318	54	2018.1111
1028	egypt	-0.6724	-0.1476	4	288	395	24	2016.8333
1029	ehn	0.9701	0.0538	3	127	178	10	2016.3
1030	eicosapentaenoic acid	-0.7672	0.1737	4	149	202	13	2014.7692
1031	electric vehicle	-0.1853	-0.8061	2	304	602	44	2015.2273
1032	electrical conductivity	-0.5602	-0.1422	2	132	166	15	2015.9333
1033	electricity	-0.453	-0.6172	2	1200	4777	347	2014.804
1034	electricity generation	-0.3261	-0.6328	2	456	787	58	2015.0172
1035	electricity price	-0.4382	-0.5446	2	156	206	13	2015.4615
1036	electricity production	-0.4403	-0.6533	2	411	727	45	2016.0444
1037	electrification	-0.1487	-0.7651	2	280	447	29	2015.2759
1038	electrochemical impedance spectroscopy	0.2696	0.3723	1	55	60	10	2017.6
1039	electrolysis	-0.2461	-0.3332	2	323	473	33	2017.0606
1040	electron microscope	0.1433	0.6299	1	306	523	27	2016.963
1041	electron microscopy	0.1541	0.7518	1	676	1852	98	2016.6224
1042	elemental analysis	0.0444	0.5986	1	619	1258	73	2016.9315
1043	elemental carbon	0.3544	-0.4035	2	306	686	48	2013.2292
1044	elemental composition	-0.1103	0.3769	1	446	724	48	2015.8333
1045	elevated pressure	0.7368	0.2073	3	147	210	15	2014.5333
1046	emergence	-0.4028	-0.5612	2	336	463	37	2012.7838
1047	emf	-0.2144	0.8312	1	151	340	23	2017.0435
1048	emission analysis	0.9329	-0.1207	3	465	1026	57	2016.9298
1049	emission behavior	1.0798	-0.0456	3	219	323	15	2017.7333
1050	emission characteristic	1.264	-0.1725	3	1324	11027	586	2016.5853
1051	emission factor	0.2863	-0.5318	2	577	1319	93	2012.9462
1052	emission inventory	0.0678	-0.5739	2	195	342	27	2013.6296
1053	emission level	0.7952	-0.3729	3	643	1376	82	2015.9512
1054	emission measurement	0.9347	-0.443	3	200	315	19	2013.9474
1055	emission parameter	1.3387	-0.139	3	469	1452	78	2017.4231
1056	emission property	0.5435	-0.1449	3	138	167	12	2016.4167
1057	emission rate	0.4629	-0.426	3	251	382	29	2012.6207
1058	emission result	0.9741	-0.3092	3	353	704	37	2015.5676
1059	emission standard	0.7649	-0.4383	3	325	485	29	2015.5172
1060	emission study	0.7572	-0.1218	3	254	394	24	2015.0833
1061	emission test	0.8005	-0.2572	3	352	635	38	2013.8421
1062	emissions characteristic	1.264	-0.2392	3	586	1599	80	2015.8375
1063	empirical correlation	0.8645	-0.0901	3	133	162	13	2018
1064	empirical equation	-0.3276	0.1961	4	138	164	11	2016.0909
1065	employment	-0.2439	-0.4944	2	451	723	43	2014.3256
1066	empty fruit bunch	-0.3868	0.0849	1	216	300	23	2015.913
1067	emulsified fuel	1.0636	0.0177	3	115	145	10	2012.6
1068	emulsion	0.8661	0.0686	3	654	1579	113	2015.4159
1069	emulsion fuel	1.2115	0.0246	3	226	523	29	2017.0345
1070	en standard	0.1418	0.2872	4	209	274	13	2017.6923
1071	en14214	-0.2426	0.2454	4	358	528	33	2016.9394
1072	end use	-0.5168	-0.8656	2	211	299	19	2012.5263
1073	endophytic fungi	-0.1876	0.1828	4	109	134	13	2015.6923
1074	energy balance	-0.5191	-0.5551	2	850	2022	131	2014.0153
1075	energy carrier	-0.4077	-0.4585	2	423	623	46	2013.6957
1076	energy cost	-0.4792	-0.3895	2	304	407	28	2014.4286
1077	energy crop	-0.5388	-0.5551	2	776	1792	123	2013.2602
1078	energy dispersive x ray	-0.0659	0.981	1	147	232	11	2016.9091
1079	energy dispersive x ray spectroscopy	0.3246	0.6595	1	192	296	16	2018.8125
1080	energy flow	-0.5304	-0.4538	2	216	290	19	2013.5263
1081	energy independence	-0.5898	-0.5392	2	277	417	27	2012.5185
1082	energy input	-0.5392	-0.4137	2	664	1255	87	2014.1379
1083	energy integration	-0.461	-0.1966	2	93	112	11	2017.2727
1084	energy matrix	-0.408	-0.6168	2	230	324	27	2016
1085	energy output	-0.5627	-0.2461	2	364	551	42	2015.2381
1086	energy performance	-0.3641	-0.575	2	185	240	15	2015.5333
1087	energy policy	-0.4307	-0.7526	2	374	649	45	2015.8222
1088	energy potential	-0.3914	-0.6808	2	214	263	23	2015.1739
1089	energy price	-0.2628	-0.7717	2	196	243	16	2011.5625
1090	energy product	-0.599	-0.3609	2	172	207	15	2014.9333
1091	energy purpose	-0.4025	-0.7806	2	214	317	23	2015
1092	energy return	-0.6774	-0.5129	2	350	641	41	2015.1707
1093	energy saving	-0.3551	-0.4745	2	314	455	39	2014.2051
1094	energy sector	-0.3021	-0.6206	2	480	814	50	2015.24
1095	energy security	-0.1468	-0.5816	2	920	2110	139	2014.2446
1096	energy storage	-0.3641	-0.5553	2	118	156	15	2017.6
1097	energy supply	-0.4747	-0.636	2	531	983	68	2013.2941
1098	energy system	-0.3513	-0.6917	2	576	1133	87	2015.7126
1099	energy technology	-0.4466	-0.5911	2	168	211	18	2014.8333
1100	energy use	-0.4882	-0.6298	2	696	1469	98	2013.8571
1101	energy yield	-0.5756	-0.1058	2	380	537	38	2016.2105
1102	engine	0.8725	-0.2459	3	2399	25565	1664	2015.4694
1103	engine application	0.9937	-0.1037	3	361	597	35	2017.0571
1104	engine characteristic	1.2496	-0.0765	3	485	1241	59	2018.1186
1105	engine combustion	1.144	-0.2001	3	377	685	34	2017.9118
1106	engine component	0.7463	-0.1857	3	179	267	16	2013.5
1107	engine condition	1.074	-0.073	3	273	433	27	2013.3333
1108	engine cylinder	1.1323	-0.2303	3	175	246	15	2016.4667
1109	engine design	0.6857	-0.2352	3	228	312	19	2015.6316
1110	engine efficiency	0.9371	-0.3447	3	474	916	56	2015.5357
1111	engine emission	0.9044	-0.2827	3	482	973	59	2014.7966
1112	engine exhaust	0.7456	-0.1595	3	263	384	22	2016.5
1113	engine exhaust emission	0.9717	-0.0616	3	276	464	26	2016.5769
1114	engine experiment	1.0836	-0.164	3	313	561	30	2016.9333
1115	engine load	1.1924	-0.2668	3	854	3864	193	2016.1347
1116	engine load condition	1.3098	-0.2393	3	241	408	20	2016.3
1117	engine modification	1.129	-0.0825	3	528	1494	79	2015.443
1118	engine operating	1.2527	-0.3323	3	308	592	31	2014.2258
1119	engine operating condition	0.9687	-0.2561	3	374	677	42	2015.0476
1120	engine operating parameter	1.2426	-0.1172	3	208	390	19	2016.8421
1121	engine operation	1.0406	-0.1896	3	596	1328	81	2015.4815
1122	engine parameter	1.2123	-0.1932	3	410	962	52	2017.7308
1123	engine performance	1.0978	-0.1569	3	1407	8617	494	2016.0324
1124	engine performance parameter	1.2949	-0.2558	3	248	515	28	2017.5357
1125	engine performance test	1.1357	0.1094	3	151	232	13	2013.9231
1126	engine power	0.8478	-0.2351	3	387	771	52	2014.2692
1127	engine speed	1.2461	-0.2744	3	806	3394	187	2015.7914
1128	engine test	0.8969	-0.0724	3	687	1635	92	2016.0652
1129	engine test result	0.9965	0.0235	3	248	425	21	2015.619
1130	engine testing	1.0236	-0.0197	3	232	345	19	2016.2632
1131	engine torque	1.2269	-0.3287	3	279	626	34	2015.1471
1132	engine wear	0.8869	0.0614	3	162	219	16	2015.0625
1133	engineering	-0.5727	0.0487	4	608	1137	85	2015.5176
1134	enhanced production	-0.668	0.1132	4	173	203	14	2016.9286
1135	enthalpy	0.4119	0.3947	1	312	431	38	2015.8158
1136	entire process	-0.6457	-0.0748	4	116	135	10	2016
1137	environmental analysis	-0.5291	-0.7453	2	262	414	26	2015.8077
1138	environmental assessment	-0.5011	-0.6503	2	432	769	52	2016
1139	environmental burden	-0.4531	-0.6533	2	338	556	36	2015.3611
1140	environmental condition	-0.6012	-0.2003	2	440	601	39	2015.5641
1141	environmental consequence	-0.4353	-0.6251	2	290	445	27	2014.7407
1142	environmental criterium	-0.64	-0.6526	2	193	296	20	2016.15
1143	environmental degradation	0.2271	-0.5812	2	276	406	24	2015.2083
1144	environmental factor	-0.521	-0.2048	2	172	199	16	2018.125
1145	environmental impact	-0.3743	-0.5985	2	1628	6808	450	2015.64
1146	environmental impact category	-0.5691	-0.7996	2	155	227	13	2014.6923
1147	environmental implication	-0.6155	-0.7012	2	221	317	18	2013.4444
1148	environmental indicator	-0.2493	-0.5687	2	139	170	13	2015.2308
1149	environmental performance	-0.5042	-0.6525	2	753	2050	123	2015.7967
1150	environmental perspective	-0.3722	-0.6132	2	187	237	15	2015
1151	environmental profile	-0.582	-0.6733	2	195	296	15	2014.2667
1152	environmental risk	-0.4148	-0.5321	2	140	166	14	2015.9286
1153	environmental sustainability	-0.5472	-0.541	2	571	998	64	2015.9531
1154	enzymatic biodiesel production	-0.3597	0.5503	1	127	191	15	2014
1155	enzymatic catalysis	-0.2829	0.6544	1	102	154	12	2015.5
1156	enzymatic hydrolysis	-0.6539	0.0139	4	393	686	51	2016.5882
1157	enzymatic production	-0.1183	0.6405	1	150	248	17	2013.7647
1158	enzymatic synthesis	-0.2548	0.6368	1	107	164	14	2014
1159	enzymatic transesterification	-0.2083	0.6369	1	264	450	33	2015.303
1160	enzyme	-0.513	0.2559	4	1046	2937	218	2015.3073
1161	enzyme concentration	-0.2629	0.648	1	180	302	19	2015.2105
1162	enzyme loading	-0.29	0.7825	1	125	224	17	2014.2353
1163	equivalence ratio	0.8652	0.12	3	584	1914	131	2015.8473
1164	eroi	-0.7034	-0.4507	2	240	382	22	2016.1818
1165	erosion	-0.2843	-0.6097	2	243	313	18	2012.8333
1166	erucic acid	-0.3592	0.0247	4	159	225	16	2016.75
1167	escherichia coli	-0.6995	0.272	4	372	907	66	2015.3939
1168	ester content	-0.2066	0.4708	1	424	739	62	2015.1613
1169	ester yield	-0.039	0.6225	1	282	479	30	2012.6667
1170	esterification	-0.082	0.5774	1	1479	5687	376	2014.8059
1171	esterification process	0.2359	0.3584	1	438	848	60	2014.9167
1172	esterification reaction	-0.1794	0.7165	1	507	1132	69	2016
1173	estimate	-0.2453	-0.5682	2	945	2020	138	2013.2246
1174	ethane	0.2344	0.1957	1	209	243	18	2015.3333
1175	ethanol addition	0.7956	-0.0171	3	215	300	18	2015.3889
1176	ethanol blend	0.8947	-0.3104	3	510	1043	67	2015.9104
1177	ethanol diesel blend	1.2272	-0.3113	3	187	329	21	2012.7619
1178	ethanol gasoline blend	0.5962	-0.3871	3	221	314	21	2014.2857
1179	ethanol production	-0.5815	-0.4251	2	804	1785	132	2014.5227
1180	ethanol yield	-0.5388	-0.1153	2	281	397	29	2015.7586
1181	ethanolysis	-0.1584	0.6999	1	336	675	47	2015
1182	ethene	0.5081	0.0454	3	138	178	12	2013
1183	etherification	-0.0563	0.7541	1	327	661	46	2016.2174
1184	etherification reaction	0.0895	0.7699	1	117	182	11	2016.5455
1185	ethiopia	-0.5573	-0.6343	2	164	187	13	2016
1186	ethyl acetate	-0.0532	0.496	1	438	677	44	2017.2273
1187	ethyl biodiesel	0.0943	0.3923	1	125	156	14	2016.5714
1188	ethyl levulinate	0.0413	0.6483	1	348	689	49	2017.3673
1189	ethylbenzene	0.2581	0.232	3	141	173	11	2014.2727
1190	ethylene	0.3048	0.2216	3	326	488	32	2016.0938
1191	ethylene glycol	-0.0615	0.432	1	139	158	13	2016.6154
1192	eu country	-0.3098	-0.803	2	142	187	15	2013.2
1193	eu directive	-0.2734	-0.5796	2	120	142	12	2011.8333
1194	eu renewable energy directive	-0.4852	-0.6863	2	138	170	11	2017.1818
1195	eucalyptus	-0.3771	-0.437	2	254	312	18	2016.8889
1196	eucalyptus oil	1.432	-0.1983	3	233	434	21	2017.0952
1197	eugenol	0.1765	0.6498	1	105	143	10	2017.4
1198	euphorbiaceae	-0.4777	-0.1991	2	123	183	19	2012.5263
1199	euphorbiaceae family	-0.5723	-0.1164	2	73	91	10	2013.1
1200	euro	0.608	-0.4802	3	567	1197	73	2013.6575
1201	europe	-0.2163	-0.6237	2	1011	2626	187	2012.7112
1202	european commission	-0.3968	-0.7826	2	255	430	32	2012.75
1203	european country	-0.4565	-0.8446	2	179	245	17	2010.9412
1204	european legislation	-0.0939	-0.4416	2	119	140	10	2015.2
1205	european standard	-0.0618	0.3349	1	332	532	38	2014.9211
1206	european union	-0.3273	-0.6767	2	783	1928	137	2015.1168
1207	eutrophication	-0.6194	-0.7147	2	497	1198	64	2014.5
1208	eutrophication potential	-0.5833	-0.763	2	287	531	25	2014.12
1209	evaporation rate	0.8039	-0.198	3	278	397	24	2016.6667
1210	excellent catalytic activity	-0.1926	0.9923	1	122	163	11	2018.3636
1211	excellent catalytic performance	-0.1877	0.9228	1	177	252	14	2017.8571
1212	excellent yield	0.1736	0.5952	1	121	151	11	2017
1213	exergy efficiency	0.61	-0.2907	3	239	386	33	2017.2424
1214	exhaust	0.6922	-0.3229	3	837	2527	169	2014.4497
1215	exhaust emission	1.1118	-0.2367	3	1240	6619	361	2015.277
1216	exhaust emission characteristic	1.2302	-0.2156	3	285	560	27	2015.3704
1217	exhaust gas	0.8192	-0.2865	3	498	976	67	2015.8806
1218	exhaust gas emission	1.142	-0.2562	3	361	854	47	2015.2766
1219	exhaust gas recirculation	1.342	-0.2617	3	602	2158	108	2016.3241
1220	exhaust gas temperature	1.3494	-0.1617	3	673	2934	138	2016.3623
